imdb_id,name,data,dl,json_id
tt4816627,Outsiders - Season 1,"2016|Action|Many Hours|9.3|Ha126RODOOM|55,3605,296",720p HDTV:24.6GB:CC037A54AC3CE3937891D0AD4387CB5A9D8D36C1,28
tt0794338,Dancing Bear #26,"2015|XXX|2h16m|9.9|mI_KSRbFMME|55,0,296",DVDRip:1.96GB:e1fdc541cb9b2007242f8f8ce670a2349aa1a084,29
tt6223806,Dancing Bear #2,"2011|XXX|2h25m|9.9|tU7KeDwJCAc|55,296,296",DVDRip:1.96GB:dcadcce7929d4f78557dc8aa0f65fa345cb812fc,29
tt6223804,Dancing Bear #20,"2014|XXX|1h30m|8.5|h1jfoPf41wRy|55,600,296",DVDRip:1.96GB:82814d2fdcc19d39bec6f93df5fc93de1c65cfbd,29
tt6223805,Dancing Bear #21,"2015|XXX|1h30m|8.5|h1jfoPfY1wRy|55,890,296",DVDRip:1.96GB:7f3995fcd6e5f760586c7ece65b4f72c377b2a56,28
tt0239195,Survivor - Season 1,"2000|Reality|Many Hours|9.4|C9XCIrfXG_Y|55,1200,296",WEBRip:8.59GB:BCA0D470450C9F5D855DCCFE961320A342CED322,28
tt0239196,Survivor - Season 2,"2001|Reality|Many Hours|9.4|C9XCIrfXG_Y|55,1510,296",WEBRip:12.2GB:2E577AF14C482B2ECA0AAB7C6E8A71590EB1F486,28
tt0239197,Survivor - Season 3,"2001|Reality|Many Hours|9.4|C9XCIrfXG_Y|55,1810,296",WEBRip:9.4GB:BA2D5E905934F56A9DC555E1FAE64AE495C9165E,28
tt2618986,Wayward Pines - Season 1,"2015|Action|Many Hours|9.1|RsQ9Fl0VCkk|55,2100,296",H265 720p:1.73GB:418ac1bec728a6e3ada7745550d86773c73650e5,28
tt2618985,Wayward Pines - Season 2,"2015|Action|Many Hours|9.1|RsQ9Fl0VCkk|55,2400,296",H265 720p:1.97GB:65b9968bdae9910943381428e81aeacea8bd2e08,28
tt0239193,Survivor - Season 4,"2001|Reality|Many Hours|9.4|BdWiabh7Tmc|55,2710,296",WEBRip:9.0GB:2B9C4D9839464EF5D420EC6749B3AE7B6FFE3318,28
tt0239192,Survivor - Season 5,"2001|Reality|Many Hours|8.9|010m-luVHFw|55,3005,296",WEBRip:8.9GB:7E8607CD3AED488049CDE5F79141DF4BF4F0AC64,28
tt4816626,Outsiders - Season 1,"2016|Action|Many Hours|9.3|Ha126RODOOM|55,3305,296",720p HDTV:15.6GB:F04FC7CB5103E0047F15E204265FB0BF3AD562D1,28
